state,district,pincode,audit_status,total_txns,risk_reason,severity_score
Telangana,Medchal Malkajgiri,500090,HIGH RISK - Action Required,406.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.06024342405523919
Jharkhand,East Singhbum,831012,HIGH RISK - Action Required,362.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05971131491220705
Odisha,Nabarangpur,764074,HIGH RISK - Action Required,442.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05971131491220705
West Bengal,Dinajpur Dakshin,733125,HIGH RISK - Action Required,423.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05971131491220705
Chhattisgarh,Gaurella Pendra Marwahi,495117,HIGH RISK - Action Required,352.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.057586474866720305
Bihar,Purbi Champaran,845303,HIGH RISK - Action Required,1733.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05658301656818343
Bihar,Purbi Champaran,845433,HIGH RISK - Action Required,1602.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05605338316914288
Bihar,Purbi Champaran,845302,HIGH RISK - Action Required,1408.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05130277350591883
Madhya Pradesh,Ashoknagar,473443,HIGH RISK - Action Required,1341.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05130277350591883
Gujarat,Rajkot,363440,HIGH RISK - Action Required,304.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.05102891052365088
Andhra Pradesh,Spsr Nellore,524004,HIGH RISK - Action Required,296.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04997751252866378
Karnataka,Bengaluru Rural,560060,HIGH RISK - Action Required,281.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04997751252866378
Telangana,Hyderabad,500084,HIGH RISK - Action Required,280.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04997751252866378
Telangana,Ranga Reddy,500079,HIGH RISK - Action Required,284.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04997751252866378
West Bengal,Coochbehar,736165,HIGH RISK - Action Required,290.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04997751252866378
Gujarat,Botad,363421,HIGH RISK - Action Required,264.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04892753629450608
West Bengal,24 Paraganas North,700119,HIGH RISK - Action Required,261.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04892753629450608
Karnataka,Bengaluru Urban,560068,HIGH RISK - Action Required,1638.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04867601882467543
West Bengal,Dinajpur Uttar,733134,HIGH RISK - Action Required,1183.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04710422607211484
Bihar,Bhagalpur,811211,HIGH RISK - Action Required,453.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.046995684658051595
Gujarat,Sabar Kantha,383255,HIGH RISK - Action Required,226.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04423773846612378
Uttar Pradesh,Aligarh,250611,HIGH RISK - Action Required,1220.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04397019547873293
Chhattisgarh,Gaurella Pendra Marwahi,495119,HIGH RISK - Action Required,443.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04375400728355816
Haryana,Nuh,122108,HIGH RISK - Action Required,427.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.0432330508809361
Gujarat,Banas Kantha,385575,HIGH RISK - Action Required,430.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04276536101621253
Jharkhand,East Singhbum,832105,HIGH RISK - Action Required,205.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.042154718645402656
West Bengal,Coochbehar,736131,HIGH RISK - Action Required,209.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.042154718645402656
Karnataka,Bengaluru Urban,560045,HIGH RISK - Action Required,1108.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.041780089226346906
Haryana,Gurugram,122004,HIGH RISK - Action Required,202.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04163484393361716
Karnataka,Ramanagara,562160,HIGH RISK - Action Required,204.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04163484393361716
Uttar Pradesh,Kheri,261121,HIGH RISK - Action Required,361.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.04098291992290237
Delhi,New Delhi,110070,HIGH RISK - Action Required,197.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.038005553036593476
Maharashtra,Ahmednagar,413705,HIGH RISK - Action Required,196.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.038005553036593476
Andhra Pradesh,Spsr Nellore,524201,HIGH RISK - Action Required,332.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03735670930590618
Tamil Nadu,Kanchipuram,631502,HIGH RISK - Action Required,351.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.036323799647624
Telangana,Medchal Malkajgiri,500072,HIGH RISK - Action Required,298.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03587540256705124
West Bengal,24 Paraganas North,743251,HIGH RISK - Action Required,178.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03387878490714924
West Bengal,24 Paraganas North,743235,HIGH RISK - Action Required,186.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03336450768506949
Karnataka,Bengaluru Urban,560016,HIGH RISK - Action Required,809.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.032744736701924904
Karnataka,Bengaluru Rural,562110,HIGH RISK - Action Required,174.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.032336996511390104
Karnataka,Bengaluru Urban,560004,HIGH RISK - Action Required,175.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.032336996511390104
Maharashtra,Ahmednagar,414105,HIGH RISK - Action Required,172.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.032336996511390104
Karnataka,Bengaluru Urban,560043,HIGH RISK - Action Required,1293.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03182446114393689
Karnataka,Bengaluru Urban,560032,HIGH RISK - Action Required,861.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.031718063618208836
Karnataka,Bengaluru Urban,560078,HIGH RISK - Action Required,852.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03131157337910506
Madhya Pradesh,Ashoknagar,473335,HIGH RISK - Action Required,893.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03131157337910506
West Bengal,24 Paraganas North,743145,HIGH RISK - Action Required,169.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.031310874797406685
Bihar,Purbi Champaran,845304,HIGH RISK - Action Required,937.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.03018065651782309
Karnataka,Bengaluru Urban,560017,HIGH RISK - Action Required,112.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.029774293353946546
Karnataka,Bengaluru Urban,560027,HIGH RISK - Action Required,112.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.029774293353946546
Karnataka,Bengaluru Urban,560064,HIGH RISK - Action Required,1008.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.029263488929090475
